IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10300,142,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,105,562,09/19/2017,558
10301,193,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,383,140,09/19/2014,766
10302,224,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,340,586,06/29/2014,1068
10303,116,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,283,154,07/18/2012,730
10304,258,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,285,882,05/14/2012,104
10305,177,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,128,459,11/27/2013,849
10306,136,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,339,698,06/08/2017,654
10307,152,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,353,491,10/23/2016,532
10308,137,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,186,630,10/27/2014,1071
10309,90,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,488,597,04/28/2012,794
10310,244,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,244,396,01/04/2016,291
10311,233,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,270,901,01/16/2010,868
10312,258,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,145,461,05/07/2019,466
10313,297,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,250,862,11/30/2011,507
10314,171,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,265,904,07/03/2012,314
10315,202,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,407,869,06/27/2015,372
10316,128,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,89,752,04/13/2018,1082
10317,265,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,249,542,03/09/2014,762
10318,271,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,431,801,03/22/2013,177
10319,147,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,453,765,10/06/2016,720
10320,249,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,222,108,03/20/2013,373
10321,160,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,468,147,03/11/2016,124
10322,288,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,346,523,06/08/2015,696
10323,207,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,179,700,03/17/2016,769
10324,257,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,86,669,08/23/2013,1052
10325,237,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,384,775,10/04/2010,410
10326,290,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,332,755,03/03/2016,340
10327,259,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,402,317,03/07/2019,739
10328,105,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,220,227,01/04/2017,280
10329,143,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,346,422,06/09/2014,452
10330,236,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,441,527,09/03/2016,479
10331,106,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,483,244,07/23/2015,358
10332,97,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,177,328,11/05/2019,480
10333,96,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,295,444,06/30/2018,1032
10334,243,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,204,187,04/19/2016,1073
10335,220,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,268,641,09/13/2019,827
10336,177,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,374,610,01/13/2013,585
10337,252,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,256,873,03/02/2010,1085
10338,129,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,396,675,10/04/2013,760
10339,181,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,312,554,08/03/2014,514
10340,203,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,59,112,07/26/2013,870
10341,236,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,266,218,06/11/2019,942
10342,184,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,333,776,08/24/2011,257
10343,298,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,231,197,10/22/2012,280
10344,132,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,125,500,08/04/2015,706
10345,159,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,236,547,04/01/2011,180
10346,96,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,312,342,11/15/2010,857
10347,251,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,129,151,06/28/2016,396
10348,168,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,469,816,10/05/2017,176
10349,133,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,220,613,08/14/2014,490
10350,163,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,269,809,01/07/2015,223
10351,195,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,377,769,01/04/2018,649
10352,172,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,448,823,01/20/2016,612
10353,225,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,185,641,10/18/2016,1019
10354,229,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,193,490,11/02/2019,928
10355,294,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,81,906,02/24/2011,849
10356,194,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,333,218,10/08/2017,1025
10357,198,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,294,369,09/22/2015,469
10358,95,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,211,821,12/03/2013,461
10359,115,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,449,757,10/12/2010,754
10360,208,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,291,110,06/11/2014,373
10361,126,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,106,871,06/28/2010,320
10362,103,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,391,614,01/15/2013,397
10363,143,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,63,208,11/26/2019,851
10364,223,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,88,298,11/05/2016,646
10365,102,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,326,373,02/03/2015,335
10366,257,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,354,677,04/03/2015,322
10367,96,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,435,878,02/12/2013,862
10368,276,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,478,377,02/10/2015,686
10369,127,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,259,720,03/05/2014,675
10370,222,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,420,830,12/19/2011,659
10371,298,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,376,477,01/27/2010,259
10372,220,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,255,168,02/25/2014,411
10373,190,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,168,738,05/28/2011,403
10374,151,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,422,621,05/11/2012,209
10375,281,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,460,238,04/29/2011,480
10376,279,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,462,149,08/29/2016,608
10377,271,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,356,363,06/13/2012,647
10378,143,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,286,132,02/10/2013,347
10379,167,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,363,741,04/06/2011,583
10380,234,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,186,225,08/01/2017,230
10381,195,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,120,763,11/18/2017,349
10382,210,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,54,533,08/18/2018,261
10383,176,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,463,347,12/02/2010,620
10384,187,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,237,191,08/26/2016,635
10385,216,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,271,460,08/28/2010,925
10386,249,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,51,215,03/10/2019,106
10387,239,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,104,383,05/25/2017,629
10388,222,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,315,269,07/08/2010,853
10389,158,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,307,347,01/11/2014,678
10390,234,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,102,570,06/09/2012,363
10391,221,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,147,197,06/17/2015,534
10392,136,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,286,839,11/20/2016,203
10393,168,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,85,234,07/03/2019,523
10394,298,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,341,443,12/02/2015,291
10395,105,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,54,776,04/08/2010,764
10396,293,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,286,520,03/03/2012,555
10397,235,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,179,672,01/20/2015,436
10398,162,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,419,431,02/16/2017,685
10399,261,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,286,557,07/12/2017,517
10400,99,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,410,101,02/22/2017,200
10401,238,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,363,480,05/14/2014,748
10402,119,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,84,771,12/02/2010,329
10403,227,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,271,263,12/25/2011,949
10404,211,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,373,782,05/13/2013,304
10405,91,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,90,338,04/08/2016,752
10406,171,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,370,124,06/01/2016,593
10407,133,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,498,581,05/11/2011,208
10408,108,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,335,412,08/29/2013,423
10409,283,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,62,366,05/01/2019,950
10410,113,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,278,845,01/19/2012,302
10411,296,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,127,809,04/01/2017,373
10412,230,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,125,671,12/18/2015,422
10413,121,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,104,234,03/25/2013,1075
10414,234,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,406,786,03/17/2019,185
10415,125,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,81,408,08/14/2016,630
10416,253,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,385,297,03/11/2016,768
10417,102,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,109,113,04/24/2018,661
10418,167,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,169,600,07/09/2010,208
10419,115,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,100,288,06/14/2016,766
10420,191,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,182,274,01/14/2011,868
10421,179,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,293,646,07/27/2010,811
10422,95,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,218,344,02/09/2014,655
10423,257,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,309,901,12/30/2011,678
10424,299,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,68,412,11/28/2015,525
10425,227,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,319,407,11/08/2013,461
10426,203,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,398,862,01/28/2017,286
10427,184,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,75,485,10/09/2018,953
10428,266,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,418,519,11/22/2015,931
10429,259,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,426,139,07/21/2016,499
10430,201,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,490,467,08/30/2010,570
10431,280,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,179,404,09/08/2017,687
10432,275,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,219,243,09/09/2018,602
10433,217,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,423,176,12/21/2015,497
10434,162,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,216,824,10/12/2011,820
10435,299,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,240,726,09/15/2010,841
10436,90,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,66,676,03/28/2011,668
10437,190,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,318,729,02/07/2019,122
10438,254,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,339,720,07/19/2015,930
10439,109,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,193,258,08/24/2013,926
10440,266,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,336,863,11/01/2011,600
10441,196,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,340,278,02/11/2014,1085
10442,102,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,212,149,03/09/2014,933
10443,240,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,292,780,03/09/2010,879
10444,104,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,485,609,09/13/2011,556
10445,267,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,376,448,08/25/2014,333
10446,95,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,258,867,04/28/2014,1017
10447,136,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,419,201,07/13/2011,586
10448,298,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,146,306,01/28/2016,878
10449,269,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,201,667,05/06/2013,1017
10450,198,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,339,308,12/08/2017,422
10451,298,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,163,405,10/18/2011,827
10452,90,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,121,107,12/29/2019,433
10453,122,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,184,637,03/09/2019,429
10454,223,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,446,326,11/08/2017,369
10455,266,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,79,617,11/18/2011,738
10456,262,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,89,702,02/09/2017,142
10457,282,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,143,818,08/20/2017,244
10458,263,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,72,462,12/21/2010,825
10459,251,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,467,632,07/13/2016,204
10460,112,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,79,500,08/30/2013,996
10461,186,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,478,564,05/07/2013,790
10462,243,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,212,821,08/10/2012,777
10463,117,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,359,531,01/06/2019,262
10464,118,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,275,407,05/27/2018,528
10465,280,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,370,808,11/06/2019,894
10466,253,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,412,177,07/13/2015,389
10467,215,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,310,475,06/14/2018,683
10468,128,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,464,429,08/11/2018,561
10469,163,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,210,877,06/18/2011,745
10470,273,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,343,373,07/12/2018,633
10471,120,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,304,781,01/24/2018,359
10472,141,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,260,416,11/12/2012,1041
10473,117,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,218,558,10/13/2019,339
10474,194,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,213,481,12/24/2011,532
10475,231,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,124,837,09/12/2019,742
10476,191,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,357,858,01/31/2013,730
10477,222,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,52,670,09/27/2015,896
10478,286,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,488,876,01/24/2017,264
10479,119,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,263,518,11/23/2014,714
10480,209,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,249,723,03/08/2019,480
10481,202,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,470,907,12/28/2012,858
10482,231,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,386,301,07/21/2014,442
10483,205,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,124,427,06/02/2011,276
10484,158,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,403,208,05/13/2012,900
10485,96,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,378,297,11/11/2018,421
10486,245,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,140,382,01/28/2017,680
10487,216,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,309,519,04/27/2018,1074
10488,189,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,351,227,06/12/2016,170
10489,141,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,179,431,08/22/2018,546
10490,111,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,288,741,07/14/2018,1051
10491,183,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,487,617,01/03/2018,1004
10492,271,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,161,247,10/24/2013,990
10493,226,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,92,228,04/03/2014,376
10494,157,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,138,310,09/10/2014,343
10495,258,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,277,885,05/19/2015,659
10496,239,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,188,346,12/28/2017,988
10497,205,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,424,364,07/07/2012,779
10498,260,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,114,787,09/28/2013,947
10499,252,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,198,415,10/18/2019,1052
10500,175,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,212,612,02/06/2015,795
10501,249,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,424,521,09/30/2018,127
10502,143,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,279,268,01/14/2018,503
10503,135,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,120,735,04/19/2014,1086
10504,266,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,410,508,07/30/2014,411
