IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10000,146,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,367,503,06/07/2011,728
10001,281,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,340,382,08/25/2010,303
10002,121,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,169,314,02/15/2015,770
10003,228,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,51,479,02/01/2017,269
10004,275,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,72,326,05/14/2010,387
10005,148,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,388,761,11/19/2019,157
10006,118,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,388,826,06/22/2017,575
10007,249,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,478,683,02/25/2015,729
10008,139,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,133,847,04/13/2019,304
10009,274,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,284,688,02/13/2016,610
10010,111,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,284,719,01/11/2016,462
10011,214,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,92,592,02/23/2016,425
10012,190,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,201,797,11/14/2013,358
10013,261,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,202,628,11/30/2012,679
10014,204,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,382,216,12/13/2018,404
10015,272,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,183,565,10/23/2010,614
10016,246,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,361,865,12/22/2017,388
10017,191,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,59,712,11/21/2011,585
10018,223,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,294,821,09/29/2012,165
10019,220,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,388,788,07/04/2017,729
10020,131,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,258,699,11/11/2016,625
10021,254,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,158,198,11/19/2011,823
10022,98,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,430,702,10/10/2012,734
10023,279,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,299,311,08/04/2013,312
10024,113,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,374,834,04/29/2017,804
10025,164,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,143,772,03/13/2010,912
10026,244,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,432,298,06/12/2013,663
10027,292,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,460,159,03/31/2014,764
10028,208,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,155,478,12/08/2010,198
10029,164,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,412,506,09/28/2010,306
10030,137,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,343,855,03/10/2013,597
10031,163,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,198,652,06/01/2010,636
10032,162,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,305,548,04/25/2010,991
10033,204,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,298,681,12/06/2016,918
10034,152,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,146,669,09/24/2011,301
10035,291,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,388,311,06/17/2019,492
10036,199,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,448,686,05/23/2012,381
10037,187,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,59,479,07/04/2017,757
10038,123,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,481,829,07/01/2016,420
10039,183,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,319,571,02/21/2014,642
10040,249,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,408,441,08/08/2013,887
10041,285,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,357,763,11/13/2016,872
10042,274,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,65,565,02/10/2014,933
10043,133,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,480,847,02/28/2010,484
10044,174,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,175,322,02/01/2015,841
10045,159,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,394,288,09/16/2014,204
10046,282,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,394,433,09/26/2011,197
10047,111,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,462,497,09/15/2010,609
10048,160,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,77,878,05/25/2015,547
10049,265,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,128,843,02/11/2017,801
10050,289,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,404,263,02/12/2015,833
10051,294,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,142,507,02/20/2010,152
10052,107,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,166,481,06/21/2017,188
10053,243,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,294,548,07/08/2015,679
10054,135,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,194,632,02/14/2011,232
10055,287,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,405,733,05/07/2010,590
10056,155,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,438,879,06/08/2019,912
10057,231,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,355,123,12/29/2018,850
10058,97,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,125,171,10/15/2018,801
10059,164,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,146,138,02/12/2017,573
10060,272,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,201,362,06/30/2015,865
10061,150,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,344,346,12/27/2011,1001
10062,176,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,331,392,08/28/2010,475
10063,118,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,286,267,09/27/2011,970
10064,191,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,373,123,04/08/2010,745
10065,224,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,165,699,06/14/2011,890
10066,154,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,302,878,02/02/2010,535
10067,215,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,64,814,06/26/2017,447
10068,274,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,62,686,09/30/2012,857
10069,296,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,259,256,06/29/2016,589
10070,136,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,180,384,05/27/2015,233
10071,227,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,490,753,10/31/2016,884
10072,225,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,157,697,09/08/2018,1040
10073,291,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,457,775,09/21/2018,341
10074,262,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,262,698,05/12/2019,327
10075,202,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,62,340,06/27/2014,573
10076,202,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,156,461,05/02/2017,850
10077,187,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,255,805,01/24/2017,366
10078,111,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,239,539,03/17/2018,618
10079,116,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,500,894,01/14/2012,873
