ID_Usuario,Nome,DataAdmissao,Matricula,Estagiario,Departamento
1,Nanette Fetherstone,01/26/2013,906-CxKxty,Nao,Financas
2,Vittorio Zanioletti,04/26/2010,269-zq5w0F,Nao,Financas
3,Cammi Kitchinham,08/13/2013,394-Tzi1AB,Sim,Financas
4,Buck Lownie,05/22/2010,100-72tg4I,Nao,Financas
5,Craig Guillet,05/20/2013,981-wWBUu5,Sim,Financas
6,Broderick Aleshintsev,05/15/2014,278-778Whd,Sim,Financas
7,Kimberli Dare,04/23/2012,694-4AYVEP,Nao,Financas
8,Tim Scotting,09/15/2010,045-Mtkl9x,Nao,Financas
9,Olivia Perryn,05/16/2010,696-Nk09Gx,Sim,Financas
10,Maisie Ramsdell,04/14/2013,355-Bu2xLK,Nao,Financas
