ID_Usuario,Nome,DataAdmissao,Matricula,Estagiario,Departamento
11,Seana Stearne,01/08/2013,512-bblMd2,Nao,Tecnico
12,Sorcha Fritschel,04/21/2013,606-cDIziS,Sim,Tecnico
13,Hans Blois,08/01/2014,378-fDhYFr,Nao,Tecnico
14,Wallace O' Markey,03/26/2013,506-VX0A0s,Nao,Tecnico
15,Bernie Mancer,01/24/2012,918-3WMG5H,Sim,Tecnico
16,Harmony Kilrow,03/25/2014,085-wgpu0c,Sim,Tecnico
17,Aprilette Fish,02/24/2014,407-HCFZXe,Sim,Tecnico
18,Biddy Knights,09/08/2013,789-nfkNUt,Nao,Tecnico
19,Lombard O'Collopy,09/02/2010,165-jxARKs,Sim,Tecnico
20,Aarika Adamec,03/06/2013,153-Gj9KXD,Sim,Tecnico
21,Marguerite Garner,02/04/2011,813-qmnTyz,Nao,Tecnico
22,Lucina Woltman,12/23/2011,231-iOufrC,Nao,Tecnico
23,Lillian Regnard,09/01/2012,811-egE67R,Sim,Tecnico
24,Colleen Heinert,03/12/2010,002-N5sjaO,Nao,Tecnico
25,Giorgio Shambrooke,01/18/2013,949-55yaro,Nao,Tecnico
26,Kathleen Nenci,02/23/2011,471-vjxTHp,Nao,Tecnico
27,Gabriel Suermeiers,12/15/2014,033-EXntlr,Nao,Tecnico
28,Mair Idwal Evans,08/10/2013,212-mzgbHP,Nao,Tecnico
29,Cole Haensel,12/26/2012,149-aZUQN2,Nao,Tecnico
30,Madelin Crummay,11/08/2014,662-hRClvV,Nao,Tecnico
